event_id,customer_id,subscription_id,event_date,session_duration_minutes,pages_viewed,api_calls,feature_used,event_timestamp
EVT_000000,CUST_000149,SUB_001683,2023-01-01 00:00:00,2.3183097661522067,6,4,feature_d,2023-01-01 00:00:00
EVT_000001,CUST_001606,SUB_002425,2023-01-01 01:00:00,58.29334337795548,11,6,feature_a,2023-01-01 01:00:00
EVT_000002,CUST_000003,SUB_000425,2023-01-01 02:00:00,59.01475461441037,10,5,feature_d,2023-01-01 02:00:00
EVT_000003,CUST_001520,SUB_001787,2023-01-01 03:00:00,15.978484591538075,12,2,feature_a,2023-01-01 03:00:00
EVT_000004,CUST_001573,SUB_000552,2023-01-01 04:00:00,28.40926974572745,7,4,feature_d,2023-01-01 04:00:00
EVT_000005,CUST_001894,SUB_000168,2023-01-01 05:00:00,30.812610747807007,12,5,feature_b,2023-01-01 05:00:00
EVT_000006,CUST_000467,SUB_000514,2023-01-01 06:00:00,41.49993650864009,7,5,feature_b,2023-01-01 06:00:00
EVT_000007,CUST_000069,SUB_001706,2023-01-01 07:00:00,22.062236757616716,7,7,feature_b,2023-01-01 07:00:00
EVT_000008,CUST_000200,SUB_000429,2023-01-01 08:00:00,21.421077905235745,7,6,feature_c,2023-01-01 08:00:00
EVT_000009,CUST_000307,SUB_002130,2023-01-01 09:00:00,29.933466563567926,4,6,feature_d,2023-01-01 09:00:00
EVT_000010,CUST_001275,SUB_002377,2023-01-01 10:00:00,36.42558305521181,9,3,feature_d,2023-01-01 10:00:00
EVT_000011,CUST_001310,SUB_000690,2023-01-01 11:00:00,12.771123223666057,7,6,feature_a,2023-01-01 11:00:00
EVT_000012,CUST_000921,SUB_000352,2023-01-01 12:00:00,12.030919941150698,12,7,feature_a,2023-01-01 12:00:00
EVT_000013,CUST_000291,SUB_002391,2023-01-01 13:00:00,9.429752142223123,12,1,feature_d,2023-01-01 13:00:00
EVT_000014,CUST_001177,SUB_001117,2023-01-01 14:00:00,23.87843295668321,7,4,feature_b,2023-01-01 14:00:00
EVT_000015,CUST_000923,SUB_001405,2023-01-01 15:00:00,13.3959119145908,9,4,feature_b,2023-01-01 15:00:00
EVT_000016,CUST_001156,SUB_001318,2023-01-01 16:00:00,23.31630114755892,12,6,feature_b,2023-01-01 16:00:00
EVT_000017,CUST_000882,SUB_002245,2023-01-01 17:00:00,15.625509395770207,11,4,feature_d,2023-01-01 17:00:00
EVT_000018,CUST_000585,SUB_000078,2023-01-01 18:00:00,54.371268737122286,9,5,feature_d,2023-01-01 18:00:00
EVT_000019,CUST_001297,SUB_000677,2023-01-01 19:00:00,2.2782665770967463,17,5,feature_c,2023-01-01 19:00:00
EVT_000020,CUST_001806,SUB_000550,2023-01-01 20:00:00,25.473727368741564,4,6,feature_d,2023-01-01 20:00:00
EVT_000021,CUST_001720,SUB_000819,2023-01-01 21:00:00,25.714045096472603,7,6,feature_b,2023-01-01 21:00:00
EVT_000022,CUST_000508,SUB_000213,2023-01-01 22:00:00,14.521485277593861,7,3,feature_b,2023-01-01 22:00:00
EVT_000023,CUST_001376,SUB_001666,2023-01-01 23:00:00,16.394666681661132,7,6,feature_c,2023-01-01 23:00:00
EVT_000024,CUST_000004,SUB_000668,2023-01-02 00:00:00,48.302847979177685,15,7,feature_c,2023-01-02 00:00:00
EVT_000025,CUST_000292,SUB_000988,2023-01-02 01:00:00,9.88320641146815,16,4,feature_d,2023-01-02 01:00:00
EVT_000026,CUST_000359,SUB_000893,2023-01-02 02:00:00,61.53233849795278,7,3,feature_b,2023-01-02 02:00:00
EVT_000027,CUST_001621,SUB_000158,2023-01-02 03:00:00,68.00012524381013,7,8,feature_c,2023-01-02 03:00:00
